地区           ,岗位名称             ,招聘机构        ,薪水         ,行业
北京 朝阳区 酒仙桥   ,算法工程师            ,跨越新科技       ,25k-40k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,25k-50k    ,互联网
北京 海淀区 上地    ,算法工程师            ,新浪网         ,50k-100k   ,互联网
北京           ,资深算法工程师          ,京东集团        ,25k-50k    ,电子商务
北京 朝阳区 酒仙桥   ,广告算法工程师          ,安居客         ,20k-40k    ,互联网
北京 海淀区 双榆树   ,搜索算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 双榆树   ,广告算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京           ,算法工程师            ,京东集团        ,25k-50k    ,电子商务
北京 朝阳区 朝外    ,算法工程师            ,蚂蚁金服        ,20k-40k    ,互联网
北京 朝阳区 朝外    ,高级算法工程师          ,蚂蚁金服        ,25k-45k    ,互联网
北京 海淀区 中关村   ,高级算法工程师（Bi）      ,爱奇艺         ,30k-50k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,高德地图        ,50k-80k    ,互联网
北京 海淀区 万柳    ,算法工程师            ,瑞合广祥        ,25k-50k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴集团      ,25k-50k    ,互联网
北京           ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京 朝阳区 安贞    ,算法工程师            ,美菜          ,30k-50k    ,互联网
北京 海淀区 万柳    ,算法工程师            ,清华同方        ,13k-26k    ,计算机软件
北京 海淀区 西北旺   ,算法工程师            ,百度          ,25k-40k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,苏宁云商集团      ,50k-80k    ,互联网
北京 海淀区 双榆树   ,算法工程师            ,今日头条        ,25k-35k    ,移动互联网
北京 海淀区 双榆树   ,算法工程师            ,瑞幸咖啡        ,30k-40k    ,互联网
北京 海淀区 上地    ,算法工程师            ,百度          ,30k-60k    ,互联网
北京 朝阳区 朝外    ,算法工程师            ,绫致时装        ,20k-30k    ,互联网
北京 海淀区 中关村   ,算法工程师            ,搜狐          ,25k-40k    ,移动互联网
北京 海淀区 清河    ,算法工程师            ,小米          ,25k-50k    ,互联网
北京 海淀区 学院路   ,算法工程师            ,歌尔泰克        ,15k-30k    ,智能硬件
北京 大兴区 亦庄    ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京 朝阳区 望京    ,算法工程师            ,北京尚德机构      ,40k-60k    ,在线教育
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴零售通     ,25k-26k    ,互联网
北京 昌平区 回龙观   ,算法工程师            ,三一智矿科技      ,20k-40k    ,机械设备/机电/重工
北京 朝阳区 望京    ,算法工程师            ,阿里巴巴集团      ,25k-50k    ,互联网
北京 海淀区 上地    ,算法工程师            ,亚信科技        ,15k-25k    ,计算机软件
北京 海淀区 双榆树   ,算法工程师            ,今日头条        ,25k-50k    ,移动互联网
北京 东城区 雍和宫   ,算法工程师            ,巨化集团        ,23k-30k    ,原材料及加工/模具
北京 海淀区 五棵松   ,算法工程师            ,中国航天科工      ,10k-15k    ,其他行业
北京 海淀区 知春路   ,算法工程师            ,神州优车集团      ,28k-45k·14薪,生活服务
北京 海淀区 双榆树   ,算法工程师            ,神州优车集团      ,20k-35k    ,生活服务
北京 海淀区 万柳    ,算法工程师            ,饿了么         ,25k-50k    ,O2O
北京           ,算法工程师            ,京东集团        ,30k-50k    ,电子商务
北京           ,算法工程师            ,京东集团        ,26k-42k    ,电子商务
北京 朝阳区 北苑    ,算法工程师            ,58到家        ,18k-32k    ,互联网
北京 朝阳区 太阳宫   ,算法工程师            ,Boss直聘      ,20k-40k    ,人力资源服务
北京 朝阳区 望京    ,算法工程师            ,云校          ,25k-50k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,40k-70k    ,互联网
北京           ,算法工程师            ,京东数字科技      ,30k-50k    ,互联网
北京 东城区 朝阳门   ,算法工程师            ,凡普金科        ,20k-40k    ,互联网金融
北京 朝阳区 北苑    ,算法工程师            ,闲徕互娱        ,35k-65k    ,互联网
北京 朝阳区 亮马桥   ,算法工程师            ,平安科技        ,50k-80k    ,互联网
北京 朝阳区 小营    ,算法工程师            ,小红书         ,25k-50k    ,互联网
北京 海淀区 四季青   ,算法工程师            ,恒信东方        ,25k-50k    ,移动互联网
北京 海淀区 清河    ,算法工程师            ,小米智能科技      ,20k-40k    ,移动互联网
北京 朝阳区 太阳宫   ,算法工程师            ,Boss直聘      ,25k-50k    ,人力资源服务
北京 朝阳区 马甸    ,算法工程师            ,尚层装饰        ,15k-25k    ,装修装饰
北京 朝阳区 望京    ,算法工程师            ,看了吗视频       ,30k-50k    ,移动互联网
北京 朝阳区 望京    ,算法工程师            ,火花思维        ,15k-30k    ,在线教育
北京 海淀区 五棵松   ,算法工程师            ,北京计算机研究所    ,15k-16k    ,其他行业
北京 海淀区 上地    ,算法工程师            ,微博          ,25k-50k    ,互联网
北京 朝阳区 朝外    ,算法工程师            ,平安科技        ,15k-30k    ,计算机软件
北京 朝阳区 朝外    ,算法工程师            ,平安科技        ,6k-7k      ,计算机软件
北京 海淀区 五道口   ,算法工程师            ,纳恩博         ,18k-25k    ,智能硬件
北京 朝阳区 望京    ,算法工程师            ,北京新氧万维      ,25k-50k    ,互联网
北京           ,算法工程师            ,京东数字科技      ,20k-40k    ,互联网
北京 海淀区 双榆树   ,算法工程师            ,神州租车        ,20k-40k    ,生活服务
北京 朝阳区 望京    ,算法工程师            ,水滴互助        ,20k-40k    ,互联网金融
北京 海淀区 中关村   ,算法工程师            ,爱奇艺         ,30k-50k    ,互联网
北京 朝阳区 团结湖   ,算法工程师            ,细推          ,15k-30k    ,信息安全
北京           ,算法工程师            ,京东数字科技      ,30k-60k    ,互联网
北京 朝阳区 甜水园   ,算法工程师            ,首佑          ,15k-30k    ,医疗健康
北京 东城区 安贞    ,算法工程师            ,Cadence     ,11k-12k    ,电子/半导体/集成电路
北京 朝阳区 大望路   ,算法工程师            ,高德地图        ,25k-50k    ,互联网
北京 海淀区 西北旺   ,算法工程师            ,滴滴出行        ,6k-7k      ,移动互联网
北京 海淀区 中关村   ,算法工程师            ,去哪儿         ,25k-35k    ,互联网
北京 朝阳区 大山子   ,算法工程师            ,同程艺龙        ,25k-35k    ,互联网
北京 海淀区 双榆树   ,算法工程师            ,今日头条        ,24k-48k    ,移动互联网
北京 海淀区 中关村   ,算法工程师            ,Face++      ,30k-60k    ,互联网
北京 大兴区 亦庄    ,算法工程师            ,达达-京东到家     ,20k-40k    ,O2O
北京 东城区 建国门   ,算法工程师            ,浩鲸科技        ,15k-25k    ,通信/网络设备
北京 大兴区 亦庄    ,算法工程师            ,京东数字科技      ,20k-40k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,30k-60k    ,互联网
北京 朝阳区 酒仙桥   ,算法工程师            ,同程艺龙        ,40k-70k    ,互联网
北京 朝阳区 北苑    ,算法工程师            ,58到家        ,30k-60k    ,互联网
北京 朝阳区 团结湖   ,算法工程师            ,人民网         ,25k-50k    ,移动互联网
北京 朝阳区 红庙    ,算法工程师            ,人民网         ,30k-50k    ,移动互联网
北京 海淀区 中关村   ,广告算法工程师          ,今日头条        ,20k-40k    ,移动互联网
北京 海淀区 苏州街   ,语音算法工程师          ,好未来         ,20k-40k    ,互联网
北京 朝阳区 小营    ,OCR算法工程师         ,京东集团        ,35k-70k    ,电子商务
北京 朝阳区 望京    ,算法工程师            ,阿里-高德       ,30k-50k    ,互联网
北京 海淀区 双榆树   ,搜索算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 朝阳区 望京    ,广告算法工程师          ,苏宁云商集团      ,30k-55k    ,互联网
北京 朝阳区 来广营   ,算法工程师            ,尚德机构        ,20k-30k    ,互联网
北京 海淀区 双榆树   ,广告算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 双榆树   ,广告算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 双榆树   ,搜索算法工程师          ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 双榆树   ,高级算法工程师          ,好未来         ,30k-60k    ,互联网
北京 朝阳区 朝外    ,高级算法工程师          ,蚂蚁金服        ,25k-40k    ,互联网
北京 海淀区 中关村   ,算法工程师            ,神州租车        ,15k-30k    ,生活服务
北京 海淀区 上地    ,广告算法工程师          ,小米          ,20k-40k    ,互联网
北京 海淀区 上地    ,地图算法工程师          ,百度          ,21k-35k    ,互联网
北京 海淀区 中关村   ,音效处理算法工程师        ,今日头条        ,30k-60k    ,移动互联网
北京 朝阳区 朝外    ,高级算法工程师          ,悠易互通        ,25k-40k    ,广告营销
北京 海淀区 知春路   ,广告算法工程师          ,vivo        ,30k-60k    ,移动互联网
北京 朝阳区 酒仙桥   ,算法工程师/专家         ,瓜子二手车直卖网    ,30k-60k    ,分类信息
北京 海淀区 万柳    ,资深算法工程师          ,北京千喜鹤公司     ,9k-10k     ,餐饮
北京 海淀区 学院路   ,资深算法工程师          ,今日头条        ,20k-40k    ,移动互联网
北京 朝阳区 望京    ,资深算法工程师          ,阿里巴巴集团      ,15k-30k    ,互联网
北京 朝阳区 望京    ,算法工程师            ,ADVANCE     ,25k-50k    ,互联网
北京 朝阳区 小营    ,人脸识别算法工程师        ,京东集团        ,30k-60k    ,电子商务
北京 朝阳区 安贞    ,算法工程师            ,美菜网         ,20k-40k    ,移动互联网
北京 海淀区 中关村   ,算法工程师            ,FunPlus     ,30k-60k    ,游戏
北京 东城区 雍和宫   ,语音算法工程师          ,VIPKID      ,50k-80k    ,移动互联网
北京 西城区 复兴门   ,算法工程师            ,中视广信        ,10k-12k    ,计算机软件
北京 海淀区 上地    ,算法工程师            ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 望京    ,算法工程师            ,一点资讯        ,22k-38k    ,移动互联网
北京 海淀区 清河    ,算法工程师            ,多牛传媒        ,10k-20k    ,广告营销
北京 海淀区 清河    ,算法工程师            ,小米          ,20k-40k    ,互联网
北京 海淀区 牡丹园   ,算法工程师            ,众荟          ,25k-45k    ,移动互联网
北京 朝阳区 望京    ,算法工程师            ,一下科技        ,20k-40k    ,移动互联网
北京           ,搜索算法工程师          ,京东集团        ,20k-40k    ,电子商务
北京 石景山区 鲁谷   ,算法工程师            ,中译语通        ,15k-25k    ,数据服务
北京 朝阳区 太阳宫   ,算法工程师            ,Boss直聘      ,30k-50k    ,人力资源服务
北京 朝阳区 小营    ,NLP算法工程师         ,京东集团        ,30k-50k    ,电子商务
北京 朝阳区 北苑    ,资深算法工程师          ,58到家        ,25k-50k    ,互联网
北京 朝阳区 太阳宫   ,搜索算法工程师          ,Boss直聘      ,20k-40k    ,人力资源服务
北京 朝阳区 酒仙桥   ,广告算法工程师          ,微店          ,40k-70k    ,互联网
北京 海淀区 上地    ,高级算法工程师          ,新浪网         ,45k-90k    ,互联网
北京 朝阳区 大屯    ,高级算法工程师          ,完美世界        ,20k-40k    ,游戏
北京 海淀区 中关村   ,算法工程师/Researcher ,旷视科技        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,算法工程师/ Researcher,旷视科技        ,25k-50k    ,移动互联网
北京 东城区 东直门   ,C++算法工程师         ,VisionVera  ,15k-25k    ,通信/网络设备
北京 东城区 朝阳门   ,高级算法工程师          ,居理新房        ,30k-60k    ,互联网
北京 海淀区 中关村   ,高级算法工程师          ,爱奇艺         ,25k-40k    ,互联网
北京 朝阳区 太阳宫   ,高级算法工程师          ,Boss直聘      ,25k-50k    ,人力资源服务
北京           ,风险-算法工程师         ,京东数字科技      ,20k-40k    ,互联网
北京 海淀区 甘家口   ,算法工程师(J14869)    ,淘车二手车       ,25k-30k    ,互联网
北京 海淀区 甘家口   ,算法工程师(J10127)    ,淘车二手车       ,15k-25k    ,互联网
北京 海淀区 五道口   ,搜索算法工程师          ,爱奇艺         ,20k-40k    ,互联网
北京 海淀区 中关村   ,画像算法工程师          ,汽车之家        ,25k-40k    ,互联网
北京 海淀区 中关村   ,资深算法工程师          ,汽车之家        ,20k-35k    ,互联网
北京 海淀区 中关村   ,搜索算法工程师          ,汽车之家        ,25k-40k    ,互联网
北京 海淀区 知春路   ,算法工程师            ,恒润科技        ,8k-13k     ,其他行业
北京 海淀区 知春路   ,算法工程师            ,恒润科技        ,9k-14k     ,其他行业
北京           ,资深算法工程师          ,京东数字科技      ,35k-70k    ,互联网
北京 朝阳区 望京    ,高级算法工程师          ,水滴互助        ,30k-60k    ,互联网金融
北京 海淀区 上地    ,高级算法工程师          ,广联达         ,25k-50k    ,计算机软件
北京 大兴区 亦庄    ,资深算法工程师          ,达达-京东到家     ,30k-60k    ,O2O
北京 东城区 雍和宫   ,语音识别算法工程师(ASR)   ,VIPKID      ,25k-45k    ,移动互联网
北京 朝阳区 望京    ,语音算法工程师          ,一起作业网       ,20k-35k    ,在线教育
北京 朝阳区 望京    ,语音算法工程师          ,陌陌          ,25k-50k    ,移动互联网
北京           ,OCR算法工程师         ,京东数字科技      ,25k-50k    ,互联网
北京 海淀区 中关村   ,高级算法工程师          ,去哪儿         ,30k-45k    ,互联网
北京 东城区 朝阳门   ,算法工程师            ,凡普金科        ,20k-35k    ,互联网金融
北京 海淀区 万柳    ,算法工程师(JY0824)    ,MinTech     ,25k-30k    ,互联网金融
北京 海淀区 五道口   ,算法工程师            ,搜狗          ,30k-50k    ,互联网
北京 东城区 朝阳门   ,算法工程师            ,花生好车        ,15k-30k    ,互联网
北京 朝阳区 望京    ,高级算法工程师          ,小红书         ,30k-50k    ,互联网
北京 海淀区 上地    ,算法工程师（图像）        ,作业帮         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,算法工程师            ,凡普金科        ,20k-40k    ,互联网金融
北京 海淀区 苏州街   ,NLP算法工程师         ,好未来         ,20k-40k    ,互联网
北京 朝阳区 小营    ,nlp算法工程师         ,京东集团        ,30k-60k    ,电子商务
北京 海淀区 西北旺   ,NLP算法工程师         ,百度          ,35k-55k    ,互联网
北京 海淀区 上地    ,高级/资深算法工程师       ,饿了么         ,25k-50k    ,O2O
北京 海淀区 中关村   ,视觉算法工程师（北京）      ,腾讯          ,30k-60k    ,互联网
北京 海淀区 中关村   ,NLP算法工程师         ,腾讯          ,30k-60k    ,互联网
北京 海淀区 中关村   ,NLP算法工程师         ,好未来         ,25k-50k    ,互联网
北京 海淀区 清河    ,数据算法工程师          ,小米          ,25k-50k    ,互联网
北京 海淀区 中关村   ,广告算法工程师          ,腾讯          ,40k-70k    ,互联网
北京 海淀区 中关村   ,物理层算法工程师         ,普天技术        ,8k-15k     ,通信/网络设备
北京 东城区 雍和宫   ,教育产品算法工程师        ,VIPKID      ,30k-60k    ,移动互联网
北京 海淀区 中关村   ,NLP算法工程师         ,搜狐          ,20k-35k    ,移动互联网
北京 朝阳区 朝阳公园  ,自然语言处理算法工程师      ,OPPO        ,25k-50k    ,互联网
北京 海淀区 双榆树   ,NLP算法工程师         ,今日头条        ,25k-50k    ,移动互联网
北京 海淀区 上地    ,风控算法工程师          ,百度          ,20k-40k    ,互联网
北京 海淀区 中关村   ,NLP算法工程师         ,好未来         ,30k-50k    ,互联网
北京 海淀区 中关村   ,图像视觉算法工程师        ,好未来         ,30k-50k    ,互联网
北京           ,NLP算法工程师         ,蚂蚁金服        ,30k-40k    ,互联网
北京 海淀区 双榆树   ,高级广告算法工程师        ,今日头条        ,30k-60k    ,移动互联网
北京 朝阳区 望京    ,数据算法工程师          ,阿里巴巴零售通     ,25k-40k    ,互联网
北京 海淀区 中关村   ,广告算法工程师          ,搜狐集团        ,20k-40k    ,互联网
北京 海淀区 西北旺   ,高级算法工程师          ,百度          ,30k-55k    ,互联网
北京 海淀区 中关村   ,算法工程师            ,智能一点        ,16k-32k    ,企业服务
北京 海淀区 知春路   ,音频算法工程师          ,今日头条        ,30k-50k    ,移动互联网
北京 海淀区 上地    ,算法工程师            ,万集科技        ,15k-25k    ,智能硬件
北京 朝阳区 望京    ,NLP高级算法工程师       ,深度智耀        ,25k-50k    ,互联网
北京 朝阳区 望京    ,高级算法工程师          ,阿里巴巴集团      ,70k-80k    ,互联网
